temperature_C,pressure_psi,vibration_level,run_hours_since_service,fuel_flow_rate,water_level_percent,ambient_temp_C,days_to_failure,failure_within_7_days
189.9,299.0,0.331,437.0,97.4,71.2,29.4,0.0,1
177.2,282.4,0.464,456.0,78.6,68.2,28.2,0.0,1
193.0,252.1,0.302,494.0,78.2,74.0,36.8,0.0,1
210.5,227.4,0.423,246.0,88.0,55.4,36.8,9.5,0
175.3,274.4,0.027,542.0,102.2,76.4,32.9,0.0,1
175.3,263.8,0.553,563.0,76.6,83.2,32.7,0.0,1
211.6,281.3,0.5,587.0,70.6,69.8,26.9,0.0,1
195.3,272.2,0.296,438.0,74.9,79.1,27.6,2.2,1
170.6,286.7,0.665,277.0,61.4,75.4,21.8,15.3,0
190.9,231.3,0.734,551.0,90.8,65.3,30.5,0.0,1
170.7,296.1,0.098,110.0,73.8,60.4,36.7,27.7,0
170.7,256.9,0.309,384.0,77.5,61.9,40.1,8.0,0
184.8,322.6,0.308,190.0,90.9,75.2,30.5,15.2,0
141.7,225.9,0.265,489.0,75.5,71.4,35.0,2.6,1
145.5,310.8,0.707,425.0,89.1,86.0,14.9,8.2,0
168.8,256.9,0.452,404.0,67.5,80.7,29.4,4.1,1
159.7,227.2,0.434,334.0,91.5,80.7,29.3,15.3,0
186.3,233.1,0.001,208.0,84.1,74.9,40.9,14.4,0
161.8,238.8,0.659,21.0,78.9,61.4,34.4,28.4,0
151.8,264.8,0.19,207.0,81.6,75.6,35.0,9.9,0
209.3,268.3,0.515,7.0,64.6,72.7,34.7,22.2,0
175.5,229.9,0.569,528.0,81.3,59.5,32.3,0.0,1
181.4,249.1,0.84,165.0,78.3,85.3,41.2,19.6,0
151.5,325.0,0.173,495.0,64.9,84.1,18.2,0.0,1
169.1,310.5,0.255,589.0,71.9,59.4,32.9,0.0,1
182.2,265.3,0.546,428.0,78.4,65.0,38.8,3.6,1
157.0,251.3,0.95,162.0,72.7,66.0,20.7,21.6,0
187.5,254.2,0.651,365.0,51.1,78.7,37.0,0.3,1
168.0,271.5,0.552,525.0,92.9,77.4,27.4,0.0,1
